NAME,Year,Type,Subject,es1,class,percent_total,fs_class_min_out,fs_class_max_out,fs_class_min_in,fs_class_max_in,per,corr_type,
Sweden,1999-2000,Agricultural area ,Total area,SWE,f,24.792427,20,50,20,29,100,wca_dist,
Sweden,1999-2000,Agricultural area ,Total area,SWE,f,24.792427,20,50,30,49,100,wca_dist,
Sweden,1999-2000,Agricultural area ,Total area,SWE,g,22.17854484,50,100,50,99,100,wca_dist,
Sweden,1999-2000,Agricultural area ,Total area,SWE,h,24.45834735,100,200,100,NA,100,wca_dist,
Sweden,1999-2000,Agricultural area ,Total area,SWE,i,NA,200,500,100,NA,0,wca_dist,
Sweden,1999-2000,Agricultural area ,Total area,SWE,j,NA,500,1000,100,NA,0,wca_dist,
Sweden,1999-2000,Agricultural area ,Total area,SWE,k,NA,1000,,100,NA,0,wca_dist,
Hungary,,,,HUN,a,,0,1,0,2,50,class_size,
Hungary,,,,HUN,b,,1,2,0,2,50,class_size,
Hungary,,,,HUN,c,,2,5,2,4,100,class_size,
Hungary,,,,HUN,d,,5,10,5,9,100,class_size,
Hungary,,,,HUN,e,,10,20,10,19,100,class_size,
Hungary,,,,HUN,f,,20,50,20,29,100,class_size,
Hungary,,,,HUN,f,,20,50,30,49,100,class_size,
Hungary,,,,HUN,g,,50,100,50,99,100,class_size,
Hungary,,,,HUN,h,,100,200,100,NA,100,class_size,
Hungary,,,,HUN,i,,200,500,100,NA,,class_size,
Hungary,,,,HUN,j,,500,1000,100,NA,,class_size,
Hungary,,,,HUN,k,,1000,,100,NA,,class_size,
croatia,,,,HRV,a,,0,1,0,2,50,class_size,
croatia,,,,HRV,b,,1,2,0,2,50,class_size,
croatia,,,,HRV,c,,2,5,2,4,100,class_size,
croatia,,,,HRV,d,,5,10,5,9,100,class_size,
